"Year","INSTNM","STABBR","REGION","ADM_RATE","UGDS","COSTT4_A","MD_EARN_WNE_P10","MD_EARN_WNE_P6","DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","isNCF"
"2020","Alabama A & M University","AL",5,0.8986,4990,"22489",31000,25200,"15000",0.2531554273,0.2219053052,0.293029872,0.3375394322,0.2533,0.3502,0.5978,FALSE
"2020","University of Alabama at Birmingham","AL",5,0.9211,13186,"24347",41200,35100,"15000",0.513963161,0.468220339,0.5339251744,0.5827338129,0.5567,0.5692,0.8303,FALSE
"2020","Amridge University","AL",5,,351,"17680",39600,30700,"13207",0.2307692308,0.1661721068,,,0.2941,,,FALSE
"2020","University of Alabama in Huntsville","AL",5,0.8087,7458,"23441",46700,36200,"14000",0.5485090298,0.4616096207,0.5753623188,0.6721311475,0.502,0.5226,0.8269,FALSE
"2020","Alabama State University","AL",5,0.9774,3903,"21476",27700,22600,"18950",0.2185867473,0.1950549451,0.2576112412,0.3319148936,0.2901,0.2823,0.5898,FALSE
"2020","The University of Alabama","AL",5,0.5906,32177,"29424",44500,37400,"17500",0.6019442985,0.4838445808,0.5830291971,0.7129411765,0.6998,0.6993,0.8748,FALSE
"2020","Central Alabama Community College","AL",5,,1211,"8824",27700,23100,"7968",0.2510056315,0.1945652174,0.367768595,0.5432098765,,,,FALSE
"2020","Athens State University","AL",5,,2732,"not reported",38700,33400,"13500",0.5038167939,0.4180327869,0.5704584041,0.6346153846,,,,FALSE
"2020","Auburn University at Montgomery","AL",5,0.9281,4529,"18291",33300,30100,"12500",0.4418886199,0.3581661891,0.523054755,0.5979381443,0.3078,0.2678,0.676,FALSE
"2020","Auburn University","AL",5,0.7543,24147,"31282",48800,39500,"16380",0.7239612977,0.6148748159,0.7151724138,0.7892813642,0.7732,0.7606,0.9073,FALSE
"2020","Birmingham-Southern College","AL",5,0.5666,1265,"52176",46700,33400,"18794",0.7559912854,0.6517857143,0.7957746479,0.7853658537,0.6711,0.6473,0.7769,FALSE
"2020","Chattahoochee Valley Community College","AL",5,,1446,"8750",28900,22300,"7500",0.28125,0.2083333333,0.4387755102,0.4736842105,,,,FALSE
"2020","South University-Montgomery","AL",5,,321,"29309",33400,26900,"12667",0.2547585843,0.2105572789,0.3232935014,0.4912993039,0.1429,0.0465,0.3529,FALSE
"2020","Enterprise State Community College","AL",5,,1269,"9262",31800,27000,"5500",0.4260416667,0.3223570191,0.6015936255,0.5454545455,,,,FALSE
"2020","Coastal Alabama Community College","AL",5,,5494,"12008",29100,23800,"5500",0.3489905233,0.2648766328,0.4383753501,0.5044776119,,,,FALSE
"2020","Faulkner University","AL",5,0.5227,2079,"33944",35400,29700,"15500",0.3081623745,0.226127321,0.4011406844,0.5992217899,0.2797,0.2793,0.5611,FALSE
"2020","Gadsden State Community College","AL",5,,4147,"10098",26700,21200,"-999",,,,,,,,FALSE
"2020","New Beginning College of Cosmetology","AL",5,,83,"not reported",,,"5500",0.4205607477,0.3506493506,,,,,,FALSE
"2020","George C Wallace Community College-Dothan","AL",5,,3746,"9564",24700,21400,"-999",,,,,,,,FALSE
"2020","George C Wallace State Community College-Hanceville","AL",5,,4569,"10252",32200,26900,"8250",0.4397394137,0.3292065279,0.5618945102,0.6675824176,,,,FALSE
"2020","George C Wallace State Community College-Selma","AL",5,,1104,"13788",23300,19500,"-999",,,,,,,,FALSE
"2020","Herzing University-Birmingham","AL",5,0.95,544,"26128",37800,27900,"12695",0.3041105434,0.2450605481,0.4267029973,0.5948103792,0.4717,,,FALSE
"2020","Huntingdon College","AL",5,0.5841,1078,"35685",39900,32600,"16000",0.5146036161,0.3838028169,0.5042016807,0.7157360406,0.3993,0.4016,0.6602,FALSE
"2020","Heritage Christian University","AL",5,,49,"not reported",,,"-999",,,,,,,,FALSE
"2020","J. F. Drake State Community and Technical College","AL",5,,678,"11123",23800,19100,"-999",,,,,,,,FALSE
"2020","J F Ingram State Technical College","AL",5,,443,"5580",,,"-999",,,,,,,,FALSE
"2020","Jacksonville State University","AL",5,0.543,6394,"20050",35800,28700,"15999",0.4210392257,0.335290977,0.4752851711,0.5420054201,0.3976,0.3666,0.7472,FALSE
"2020","Jefferson State Community College","AL",5,,6937,"13284",30600,26900,"5250",0.4485852312,0.3510848126,0.525974026,0.6181015453,,,,FALSE
"2020","John C Calhoun State Community College","AL",5,,8270,"9848",28000,24000,"6000",0.38055344,0.2841344109,0.4966698382,0.5754189944,,,,FALSE
"2020","Judson College","AL",5,0.482,259,"31735",26100,22200,"10500",0.4702970297,0.4050632911,0.4302325581,0.7027027027,0.3333,0.3975,0.5973,FALSE
"2020","Lawson State Community College","AL",5,,2959,"13735",23400,20000,"-999",,,,,,,,FALSE
"2020","University of West Alabama","AL",5,0.3966,2152,"20692",37400,26400,"14250",0.3667296786,0.3224603914,0.415954416,0.5521472393,0.3219,0.2894,0.6386,FALSE
"2020","Lurleen B Wallace Community College","AL",5,,1267,"14136",26500,22600,"-999",,,,,,,,FALSE
"2020","Marion Military Institute","AL",5,0.5646,392,"18568",42700,33100,"5500",0.5924657534,0.5504587156,0.5357142857,0.6868686869,,,,FALSE
"2020","Miles College","AL",5,,1546,"22828",26500,20900,"14250",0.149776928,0.1319444444,0.1946902655,0.2179487179,0.2285,0.1986,0.5184,FALSE
"2020","University of Mobile","AL",5,0.4704,1294,"35463",35200,29300,"19500",0.4438722966,0.3203125,0.515037594,0.6735751295,0.4747,0.4728,0.7216,FALSE
"2020","University of Montevallo","AL",5,0.4848,2251,"24411",34200,27500,"17213",0.5173333333,0.4259259259,0.5694444444,0.6093189964,0.4971,0.4928,0.7675,FALSE
"2020","Northwest-Shoals Community College","AL",5,,2590,"12255",25600,23300,"6500",0.3611312545,0.2387543253,0.5552560647,0.6028368794,,,,FALSE
"2020","University of North Alabama","AL",5,0.6434,5741,"18712",37800,28600,"14250",0.516271595,0.431616341,0.552855407,0.637037037,0.4517,0.4335,0.7557,FALSE
"2020","Northeast Alabama Community College","AL",5,,1982,"8840",27900,23600,"3500",0.4630102041,0.39958159,0.539748954,0.6417910448,,,,FALSE
"2020","Oakwood University","AL",5,0.6589,1569,"36361",29700,21800,"21500",0.2837301587,0.2248908297,0.3147058824,0.3619047619,0.4736,0.4912,0.7063,FALSE
"2020","Reid State Technical College","AL",5,,261,"8958",22000,21200,"-999",,,,,,,,FALSE
"2020","Bishop State Community College","AL",5,,2440,"10155",22800,19100,"-999",,,,,,,,FALSE
"2020","Samford University","AL",5,0.8208,3524,"46474",49900,37500,"15500",0.7767548907,0.6519607843,0.7666666667,0.8481012658,0.7609,0.7411,0.8861,FALSE
"2020","Selma University","AL",5,,304,"15822",,,"7593",0.1179361179,0.1102362205,,,0.0198,0.0213,0.3263,FALSE
"2020","Shelton State Community College","AL",5,,3829,"12070",27100,22700,"-999",,,,,,,,FALSE
"2020","Snead State Community College","AL",5,,1872,"11073",27800,22400,"5000",0.3530701754,0.262987013,0.5508474576,0.5,,,,FALSE
"2020","University of South Alabama","AL",5,0.7931,10035,"19835",37800,31500,"16750",0.4695919938,0.3811011324,0.5098412698,0.6235849057,0.4213,0.4134,0.7604,FALSE
"2020","Spring Hill College","AL",5,0.6577,1252,"51969",45100,33600,"19500",0.6072013093,0.4703196347,0.6054054054,0.7536231884,0.554,0.5395,0.7535,FALSE
"2020","Stillman College","AL",5,0.3859,689,"21314",28200,22800,"12250",0.2526595745,0.2040816327,0.3301435407,0.3962264151,0.2844,0.2463,0.5967,FALSE
"2020","Talladega College","AL",5,,1208,"22514",21900,20300,"27090",0.1789181692,0.1583793738,,,0.3328,0.4036,0.6923,FALSE
"2020","H Councill Trenholm State Community College","AL",5,,1567,"12383",23100,21800,"-999",,,,,,,,FALSE
"2020","Troy University","AL",5,0.8767,13147,"19180",37000,30400,"15500",0.3498531898,0.2704735376,0.4398756047,0.6154506438,0.4076,0.3926,0.7142,FALSE
"2020","Tuskegee University","AL",5,0.5182,2529,"39383",35500,28500,"22053",0.4960173787,0.4684684685,0.5515695067,0.4721189591,0.4766,0.4694,0.6935,FALSE
"2020","United States Sports Academy","AL",5,,266,"not reported",,33600,"12917",0.4436090226,0.397260274,,,,,,FALSE
"2020","Bevill State Community College","AL",5,,2825,"13681",28100,23300,"-999",,,,,,,,FALSE
"2020","University of Alaska Anchorage","AK",8,0.8115,10482,"19942",45400,36000,"11000",0.5477396726,0.4488610987,0.6022592152,0.6548307184,0.2684,0.3196,0.6818,FALSE
"2020","Alaska Bible College","AK",8,,37,"24759",,,"-999",,,,,,,,FALSE
"2020","University of Alaska Fairbanks","AK",8,0.7611,4657,"18510",38700,30700,"11000",0.547265987,0.4225941423,0.5982905983,0.714,0.3082,0.4544,0.7536,FALSE
