"INSTNM","YEAR","LOCALE2","STABBR","ACCREDAGENCY","REGION","CONTROL","LOCALE","MAIN","ADM_RATE","UGDS","COSTT4_A","HBCU","MN_EARN_WNE_P10","MD_EARN_WNE_P10","MN_EARN_WNE_MALE0_P10","MN_EARN_WNE_MALE1_P10","MN_EARN_WNE_P6","MD_EARN_WNE_P6","MN_EARN_WNE_MALE0_P6","MN_EARN_WNE_MALE1_P6","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","TUITIONFEE_OUT","TUITIONFEE_IN"
"Alabama A & M University",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.6622","5726","23751","1","35500","40628","32600","38500","28400","27851","26700","30000","16600","31000","0.2531554273","0.2219053052","0.293029872","0.3375394322","0.2772","0.3067","0.6167","18634","10024"
"University of Alabama at Birmingham",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.8842","12118","27826","0","48400","54501","43200","57400","39400","46572","36600","43900","15832","22300","0.513963161","0.468220339","0.5339251744","0.5827338129","0.6345","0.6418","0.822","21864","8832"
"Amridge University",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","12","Main","NA","226","not_reported","0","47600","37621","38700","56000","35400","30377","26600","45200","13385","32189","0.2307692308","0.1661721068","PS","PS","PS","PS","NA","NA","NA"
"University of Alabama in Huntsville",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.7425","6650","27098","0","52000","61767","46000","58700","40300","55610","35600","44900","13905","20705","0.5485090298","0.4616096207","0.5753623188","0.6721311475","0.624","0.623","0.8034","24662","11770"
"Alabama State University",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.9564","3322","22028","1","30600","34502","28300","33000","24400","27453","23400","25500","17500","31000","0.2185867473","0.1950549451","0.2576112412","0.3319148936","0.2884","0.3227","0.6006","19576","11248"
"The University of Alabama",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.7582","32323","32024","0","51600","59221","45100","59100","42400","52233","36400","49000","17986","22750","0.6019442985","0.4838445808","0.5830291971","0.7129411765","0.7322","0.7314","0.8638","33200","11900"
"Central Alabama Community College",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","NA","1134","19815","0","32400","33506","28600","41500","25900","30739","24000","29800","5500","9766","0.2510056315","0.1945652174","0.367768595","0.5432098765","NA","NA","NA","8850","5040"
"Athens State University",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","31","Main","NA","2407","not_reported","0","42400","50273","38000","54100","36200","46266","31800","46500","14861","18051","0.5038167939","0.4180327869","0.5704584041","0.6346153846","NA","NA","NA","NA","NA"
"Auburn University at Montgomery",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.9263","2693","21873","0","38000","44391","34500","44900","32100","38216","30000","36200","13119","25000","0.4418886199","0.3581661891","0.523054755","0.5979381443","0.3576","0.3699","0.683","20092","9436"
"Auburn University",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","0.5047","25732","34402","0","56300","65337","48000","63800","43100","54629","38200","47900","17750","21000","0.7239612977","0.6148748159","0.7151724138","0.7892813642","0.7996","0.8119","0.9261","33944","12536"
